Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,71,2071,,AHLAM MASAE,0:36:55,Female,Team 2071,Heat3 8:30:00 AM,0:00:05,0:03:34,0:06:15,0:09:45,0:14:01,0:16:18,0:19:21,0:22:46,0:24:50,0:29:10,0:31:29,0:34:59,0:36:55
,72,2072,,MASLINDA BROWN,0:36:55,Female,Team 2071,Heat3 8:30:00 AM,0:00:05,0:03:34,0:06:14,0:09:45,0:14:02,0:16:24,0:19:20,0:22:42,0:24:59,0:29:08,0:31:30,0:34:58,0:36:55
,73,2069,,JOE SET,0:37:12,Female,Team 2069,Heat3 8:30:00 AM,0:00:03,0:02:50,0:05:12,0:10:33,0:15:50,0:17:55,0:21:28,0:24:07,0:25:56,0:29:49,0:31:50,0:35:28,0:37:12
,74,2070,,JACLYN TEOH,0:37:12,Female,Team 2069,Heat3 8:30:00 AM,0:00:02,0:02:50,0:05:13,0:10:32,0:15:49,0:17:50,0:21:28,0:24:07,0:25:56,0:29:47,0:31:50,0:35:27,0:37:12
,75,2103,,JANE LEE PEI LING,0:37:22,Female,Team 2103,Heat5 9:00:00 AM,0:00:04,0:02:35,0:04:50,0:09:10,0:14:38,0:16:28,0:20:35,0:23:18,0:25:08,0:29:56,0:31:47,0:35:22,0:37:22
,76,2104,,WEI YING LEE,0:37:23,Female,Team 2103,Heat5 9:00:00 AM,0:00:03,0:02:35,0:04:51,0:09:10,0:14:38,0:16:28,0:20:35,0:23:14,0:25:06,0:29:56,0:31:48,0:35:24,0:37:23
,77,2047,,SWISS TAN,0:37:31,Female,Team 2047,Heat2 8:15:00 AM,0:00:03,0:02:23,0:04:57,0:10:16,0:15:14,0:17:06,0:20:53,0:24:43,0:27:42,0:30:58,0:33:00,0:35:54,0:37:31
,78,2048,,SAMPHORS PHAL,0:37:32,Female,Team 2047,Heat2 8:15:00 AM,0:00:02,0:02:23,0:05:00,0:10:18,0:15:18,0:17:06,0:20:55,0:24:43,0:27:43,0:30:58,0:33:03,0:35:54,0:37:32
,79,2086,,CHANG HOONG TAI,0:38:10,Female,Team 2085,Heat4 8:45:00 AM,0:00:07,0:03:18,0:05:53,0:10:48,0:16:01,0:18:11,0:21:44,0:24:16,0:25:55,0:31:12,0:33:16,0:36:18,0:38:10
,80,2085,,SELENA KWA,0:38:12,Female,Team 2085,Heat4 8:45:00 AM,0:00:06,0:03:19,0:05:56,0:10:47,0:16:01,0:18:09,0:21:47,0:24:16,0:25:59,0:31:11,0:33:13,0:36:19,0:38:12
,81,2036,,CHOONG SING YEE,0:38:18,Female,Team 2035,Heat2 8:15:00 AM,0:00:03,0:02:54,0:04:59,0:10:00,0:14:48,0:16:24,0:20:29,0:23:24,0:25:42,0:30:51,0:32:41,0:36:37,0:38:18
,82,2035,,CHOONG SOOK YEE,0:38:19,Female,Team 2035,Heat2 8:15:00 AM,0:00:02,0:02:57,0:05:02,0:10:02,0:14:50,0:16:24,0:20:29,0:23:22,0:25:44,0:30:53,0:32:43,0:36:37,0:38:19
,83,2090,,CHONG KELLY,0:38:25,Female,Team 2089,Heat4 8:45:00 AM,0:00:05,0:02:43,0:04:59,0:09:49,0:14:35,0:16:05,0:19:31,0:21:56,0:23:46,0:31:19,0:33:08,0:36:50,0:38:25
,84,2089,,TOH SOOK YAN,0:38:26,Female,Team 2089,Heat4 8:45:00 AM,0:00:04,0:02:44,0:05:00,0:09:51,0:14:38,0:16:05,0:19:37,0:22:04,0:23:50,0:31:22,0:33:13,0:36:53,0:38:26
,85,2083,,PATRICIA YAPP,0:40:21,Female,Team 2083,Heat4 8:45:00 AM,0:00:06,0:03:19,0:06:33,0:10:35,0:15:41,0:17:59,0:21:52,0:24:15,0:26:40,0:31:34,0:34:08,0:37:46,0:40:21
,86,2084,,JENNY LOH,0:40:24,Female,Team 2083,Heat4 8:45:00 AM,0:00:05,0:03:19,0:06:32,0:10:35,0:15:40,0:17:58,0:21:52,0:24:15,0:26:38,0:31:34,0:34:08,0:37:45,0:40:24
,87,2061,,AMANDA SABRI,0:40:26,Female,Team 2061,Heat3 8:30:00 AM,0:00:06,0:04:33,0:06:58,0:11:56,0:17:58,0:19:38,0:23:45,0:26:18,0:28:45,0:32:44,0:34:39,0:38:21,0:40:26
,88,2062,,SITTI AISHAH YUSOF,0:40:26,Female,Team 2061,Heat3 8:30:00 AM,0:00:06,0:04:34,0:06:54,0:12:02,0:17:59,0:19:40,0:23:42,0:26:22,0:28:38,0:32:52,0:34:38,0:38:22,0:40:26
,89,2096,,AZREEN ZAHARI,0:41:02,Female,Team 2095,Heat4 8:45:00 AM,0:00:06,0:02:58,0:05:19,0:10:03,0:16:29,0:17:36,0:21:36,0:24:47,0:27:06,0:31:23,0:33:27,0:36:43,0:38:18
,90,2095,,SUE BAHRINAL,0:41:18,Female,Team 2095,Heat4 8:45:00 AM,0:00:05,0:03:00,0:05:22,0:10:03,0:16:31,0:17:36,0:21:36,0:24:50,0:27:21,0:31:24,0:33:29,0:36:43,0:38:20
,91,2067,,SUE LU HOE,0:43:22,Female,Team 2067,Heat3 8:30:00 AM,0:00:06,0:03:28,0:06:19,0:10:37,0:16:29,0:18:33,0:22:37,0:25:30,0:27:57,0:32:26,0:34:35,0:38:45,0:40:50
,92,2068,,ASHWINI NAIR,0:43:22,Female,Team 2067,Heat3 8:30:00 AM,0:00:04,0:03:30,0:06:21,0:10:40,0:16:30,0:18:35,0:22:41,0:25:15,0:27:54,0:32:23,0:34:37,0:38:45,0:40:51
,93,2040,,CHEN SUEN LEE,0:44:36,Female,Team 2039,Heat2 8:15:00 AM,0:00:03,0:02:47,0:05:19,0:11:29,0:17:43,0:19:56,0:24:33,0:27:24,0:29:43,0:35:32,0:37:31,0:41:22,0:43:25
,94,2039,,SHIH NAM PHANG,0:44:49,Female,Team 2039,Heat2 8:15:00 AM,0:00:03,0:02:50,0:05:20,0:11:32,0:17:41,0:19:59,0:24:35,0:27:26,0:29:54,0:35:28,0:37:32,0:41:24,0:43:23
,95,2055,,AMILIA MAROZI,0:45:50,Female,Team 2055,Heat3 8:30:00 AM,0:00:03,0:03:06,0:05:55,0:13:18,0:18:09,0:20:55,0:24:44,0:27:48,0:31:04,0:37:28,0:39:38,0:43:54,0:45:50
,96,2056,,NUR ASNIEZA FATIN DOLLAH,0:45:50,Female,Team 2055,Heat3 8:30:00 AM,0:00:03,0:00:01,0:05:58,0:13:18,0:18:11,0:21:00,0:24:42,0:27:45,0:31:09,0:37:28,0:39:40,0:43:51,0:45:50
,97,2049,,AZLINA ABDUL HAMID,0:46:52,Female,Team 2049,Heat3 8:30:00 AM,0:00:04,0:03:33,0:05:59,0:10:30,0:17:39,0:20:41,0:24:57,0:28:09,0:31:36,0:34:24,0:36:26,0:40:41,0:42:40
,98,2050,,HASNORHANA ABU HASSAN,0:46:53,Female,Team 2049,Heat3 8:30:00 AM,0:00:04,0:03:34,0:06:02,0:10:28,0:17:36,0:20:39,0:25:03,0:28:04,0:31:35,0:34:22,0:36:24,0:40:39,0:42:40
,99,2064,,CHOR YEEN TAN,0:49:33,Female,Team 2063,Heat3 8:30:00 AM,0:00:06,0:02:58,0:05:23,0:10:45,0:15:56,0:18:25,0:22:24,0:25:29,0:27:21,0:42:14,0:44:10,0:47:50,0:49:33
,100,2063,,MIM SHEH CHIA,0:49:33,Female,Team 2063,Heat3 8:30:00 AM,0:00:05,0:02:57,0:05:25,0:10:46,0:15:56,0:18:21,0:22:24,0:25:28,0:27:16,0:42:16,0:44:09,0:47:51,0:49:33
,101,2080,,NURAIN NAZIRAH SHAMSURI,0:53:34,Female,Team 2079,Heat4 8:45:00 AM,0:00:07,0:03:14,0:06:25,0:13:45,0:21:40,0:24:11,0:28:47,0:32:30,0:34:29,0:45:02,0:47:15,0:51:22,0:53:34
,102,2079,,SERI ASFARINA HANI MOHD AZMI,0:53:37,Female,Team 2079,Heat4 8:45:00 AM,0:00:05,0:03:16,0:06:25,0:13:49,0:21:41,0:24:18,0:28:48,0:32:27,0:34:28,0:45:05,0:47:15,0:51:23,0:53:37
,103,2051,,AUDREY LIM,1:02:58,Female,Team 2051,Heat3 8:30:00 AM,0:00:05,0:03:24,0:06:20,0:09:57,0:17:26,0:20:36,0:25:01,0:31:27,0:35:15,0:39:16,0:42:07,0:47:10,0:59:58
,104,2052,,FARA ADILLAH CHE IDRIS,1:06:20,Female,Team 2051,Heat3 8:30:00 AM,0:00:05,0:03:24,0:06:20,0:09:56,0:17:26,0:20:35,0:25:02,0:31:27,0:35:14,0:39:16,0:42:11,0:47:11,1:03:21
